DATA DA VISTORIA,EMPRESA,EQUIPAMENTO,MODELO,PLACA,DATA RETORNO,SITUAÇÃO,STATUS,OBSERVACOES
2026-05-01,JEFERSON DA SILVA SANTOS ,STRADA ,STRADA ,FOWE55,2026-07-30,APROVADO,✅ NO PRAZO,-
2026-04-30,SERRA AZUL,ONIBUS ,ONIBUS ,EFI16D57,2026-07-29,APROVADO,✅ NO PRAZO,-
2026-04-30,SERRA AZUL,ONIBUS ,ONIBUS ,BZL3C28,2026-07-29,APROVADO,✅ NO PRAZO,-
2026-04-30,SERRA AZUL,ONIBUS ,MICRO ONIBUS,BWU9D16,2026-07-29,APROVADO,✅ NO PRAZO,-
2026-04-29,SERRA AZUL,ONIBUS ,ONIBUS ,ENE4C26,2026-07-28,APROVADO,✅ NO PRAZO,-
2026-04-22,,CAMINHÃO,CAMINHÃO,6HR2E74,2026-07-21,REPROVADO,❌ PENDENTE,-
2026-04-28,,CAMINHÃO ,CAMINHÃO,T1Q2160,2026-07-27,APROVADO,✅ NO PRAZO,-
2026-04-28,SERRA AZUL,ONIBUS ,ONIBUS ,GHR2E74,2026-07-27,APROVADO,✅ NO PRAZO,-
2026-04-30,TRANS GU ,CAMINHÃO ,CASMINHÃO ,CPR7F47,2026-07-29,APROVADO,✅ NO PRAZO,-
2026-04-16,,CAMIHÃO ,CAMINHÃO,SMB3J64,2026-07-15,APROVADO,✅ NO PRAZO,-
2026-04-16,,CAMINHÃO,CAMINHÃO,QAD7016,2026-07-15,APROVADO,✅ NO PRAZO,-
2026-04-16,ALMA LOGISTICA,CAMINHÃO ,CAMINHÃO,SMF9B74,2026-07-15,APROVADO,✅ NO PRAZO,-
2026-04-16,SERRA AZUL,ONIBUS ,ONIBUS,FLIG121,2026-07-15,APROVADO,✅ NO PRAZO,-
2026-05-19,SERRA AZUL,ONIBUS ,MICRO ONIBUS,FTV2B71,2026-08-17,APROVADO,✅ NO PRAZO,-
2026-04-13,ALMA LOGISTICA,CAMINHÃO,CAMINHÃO,67788,2026-07-12,REPROVADO,❌ PENDENTE,-
2026-04-13,ALMA LOGISTICA,CAMINHÃO,CAMINHÃO,67787,2026-07-12,APROVADO,✅ NO PRAZO,-
2026-04-13,ALMA LOGISTICA,CAMINHÃO,CAMINHÃO,67789,2026-07-12,APROVADO,✅ NO PRAZO,-
2026-04-15,AILSON CARLOS RIBEIRO,PA CARREGADEIRA ,PA CARREGADEIRA ,64792,2026-07-14,APROVADO,✅ NO PRAZO,-
2026-04-15,AILSON CARLOS RIBEIRO,MOTO NIVELADORA,MOTO NIVELADORA,72307,2026-07-14,APROVADO,✅ NO PRAZO,-
2026-03-27, J.A DA SILVA ,CAMINHÃO ,TANQUE D´AGUA,CWJ5G13,2026-06-25,REPROVADO,❌ PENDENTE,-
2026-05-20,CANAÃ,CAMINHÃO ,SCANIA ,QQT5B56,2026-08-18,APROVADO,✅ NO PRAZO,-
2026-05-21,SERRA AZUL,ONIBUS ,ONIBUS,FLIG121,2026-08-19,APROVADO,✅ NO PRAZO,-
2026-05-21,SERRA AZUL,ONIBUS,MICRO ONIBUS,PHD2C50,2026-06-20,APROVADO,✅ NO PRAZO,-
2026-05-22,SERRA AZUL,ONIBUS ,MICRO ONIBUS,PHF9B00,2026-08-20,APROVADO,✅ NO PRAZO,-
2026-05-23,RENAN RAMALHO FERNANDES ME,CAMINHÃO,CAMINHÃO,URW8C16,2026-08-21,APROVADO,✅ NO PRAZO,FROTA 73040
